軌道業者,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
TYMC,TYMA07,體育大學站停車場,25.04153060913086,121.3851318359375,汽車每小時30元，每日最高150元，電子票證享有折抵優惠，身障優惠前4小時免費，超過4小時，以收費費率半價計收。機車每次30元，每日零點重新計算，電子票證優惠每次20元。汽車月租:全日月租2000元，季租4500元；機車月票300元，季租750元,無,桃園市龜山區文化一路688號
TYMC,TYMA21,環北站停車場,24.96746063232422,121.22126770019531,汽車每小時30元，每日最高150元，電子票證享有折抵優惠，身障優惠前4小時免費，超過4小時，以收費費率半價計收。機車每次30元，每日零點重新計算，電子票證優惠每次20元。汽車月租:全日月租2000元，季租4500元；機車月票300元，季租750元。,有,桃園市中壢區中豐北路一段26號
TMRT,TMRTG008,捷運文華高中站機車轉乘停車場,24.171550750732422,120.66040802001953,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市西屯區大河里15鄰文心路三段199號
TMRT,TMRTG004,捷運松竹站機車轉乘停車場,24.180830001831055,120.70179748535156,免費,無,臺中市北屯區北屯路458號
TMRT,TMRTG016,捷運烏日站機車轉乘停車場,24.108919143676758,120.62507629394531,免費,無,臺中市烏日區建國路295號
TMRT,TMRTG000,捷運北屯總站機車轉乘停車場,24.18954086303711,120.70828247070312,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市北屯區敦富東街100號
TMRT,TMRTG006,捷運文心崇德站機車轉乘停車場,24.17186,120.68517,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市平德里19鄰文心路四段538號
TMRT,TMRTG012,捷運豐樂公園站機車轉乘停車場,24.13241,120.64676,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市南屯區豐樂里26鄰文心南路168號
TMRT,TMRTG008a,捷運文心櫻花站機車轉乘停車場,24.16823959350586,120.65361785888672,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市西屯區台中市何仁里21鄰文心路三段107之28號
TMRT,TMRTG015N,捷運九德站機車轉乘停車場(北側),24.11025,120.63443,不收費,無,臺中市烏日區建國路639號
TMRT,TMRTG003,捷運舊社站停車場,24.18288,120.70757,機車：以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月。汽車：每小時30元，停車時數未滿1小時者，以1小時計算收費，停車時數逾1小時以上，其超過不滿1小時部份，如不逾30分鐘者，以半小時計算；如逾30分鐘者，仍以1小時計算。汽車月票新台幣1500元整。,有,臺中市北屯區敦富路101號
TMRT,TMRTG007,捷運文心中清站機車轉乘停車場,24.1735897064209,120.67072296142578,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市北區立人里010鄰文心路三段700號
TMRT,TMRTG014,捷運九張犁站機車轉乘停車場,24.11444,120.63969,免費,無,臺中市烏日區建國路915號
TMRT,TMRTG013,捷運大慶站機車轉乘停車場,24.119110107421875,120.64742279052734,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,有,臺中市南區樹德里7鄰建國北路一段11號
TMRT,TMRTG010,捷運水安宮站機車轉乘停車場,24.15341,120.64646,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市南屯區台中市溝墘里14鄰文心路一段519號
TMRT,TMRTG005,捷運四維國小站機車轉乘停車場,24.17094,120.69325,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市平昌里19鄰文心路四段 898號
TMRT,TMRTG015S,捷運九德站機車轉乘停車場(南側),24.11104,120.6341,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,有,臺中市烏日區建國路639號
TMRT,TMRTG011,捷運南屯站機車轉乘停車場,24.1403,120.64702,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,有,臺中市南屯區同心里14鄰五權西路二段328號
TMRT,TMRTG005B1,捷運四維國小站機車轉乘停車場,24.170970916748047,120.69345092773438,以次計費，每次20元，隔日另計(以凌晨2時為跨日基準) / 單站月租300元/月,無,臺中市北屯區平昌里19鄰文心路四段898號
