軌道業者,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
TRA,TRAJTY0123,岡山停6,22.794559478759766,120.29640197753906,"半小時計費30元，當日最高上限300元，月租3,000元",有,高雄市岡山區平和路6號對面
TRA,TRAJLY1704,竹中停1,24.781219482421875,121.0320816040039,平日:30元/時，假日:40元/時,無,新竹縣竹東鎮竹中火車站旁
TRA,TRAJTY0147,二聖公有停車場,22.61348,120.32891,汽車:30元/每6小時(當日最高60元)、汽車月租1800元/月 ,有,高雄市鳳山區二聖路
TRA,TRAJTY0103,鳳山站前停車場,22.63104,120.35775,機車：平日：25元/每日(次)、假日：30元/每日(次) 機車月租：450元/月 汽車:15元/半小時(當日最高70元) 汽車月租：800元/月 2000元/3個月,有,高雄市曹公路及曹謹路轉角
TRA,TRAJNY0107,太原火車站附設停車場,24.162660598754883,120.69969940185547,"機車平日$10/12小時,假日$20/12小時(當日當次,隔日另計),汽車平日$20/小時,上限$120/12小時(當日當次,隔日另計)",無,臺中市北屯區東光路550號
TRA,TRAJTY0126,九曲堂停車場,22.656330108642578,120.42082977294922,機車平日30/假日32,無,高雄市大樹區  久堂里久堂路鐵路巷 15 號
TRA,TRAJNY0102,潭子火車站附設停車場,24.21133041381836,120.70590209960938,平日:20/每小時，假日30元/每小時,無,臺中市潭子區中山路二段352-1號
TRA,TRAJAB0101,臺中火車站地下停車場,24.13644027709961,120.68695068359375,平日/日間收費 30元／一小時。  假日收費 50元／一小時。  機車臨停 平日30元/日/次， 假日50元/日/次。,無,臺中市中區臺灣大道一段一號
TRA,TRAJNY3405,斗南停車場,23.67391,120.47808,"每30分鐘20元；當日最高收費300元。月租2,500元。",無,雲林縣斗南鎮民權路40號
TRA,TRAJLY2603,汐止停3,25.077890396118164,121.66741180419922,每1小時20元，當日最高120元,無,新北市汐止區長安里長安路17 號
TRA,TRAJTY0161,惠民段停車場,22.73279,120.32474,汽車:每次30元 當日最高90元 ，月租2200元 營業時間：24小時,有,高雄市楠梓區惠誠街53號
TRA,TRAJTY0121,高雄和雲維新東街停車場,22.79391,120.29705,半小時20 1小時40,無,高雄市岡山區碧紅里岡燕路 31巷25號
TRA,TRAJLY1707,富岡停1,24.93444061279297,121.08345794677734,平日: 機車 30元/日。 假日: 機車 50元/日。 機車月租500元(不含假日)、800元(含假日)。,無,桃園市楊梅區成功路37號
TRA,TRAJLY2602,汐止停2,25.06817,121.6616,汽車臨停： 每1小時40元。 (北側1、2樓汽車：晚上10點~翌日早上8點，每小時10元) 機車臨停： 24小時內30元。,無,新北市信義路1號
TRA,TRAJSY0101,花蓮停三停車場,23.99173,121.60186,臨停部份20元/半小時，平日上限300元／天，假日上限500元／天(如有優惠方案則另行公告之)月租部份4000元／月租(如有優惠方案則另行公告之),無,花蓮縣花蓮市970國聯一路106號
TRA,TRAJTY0129,新左營停3,22.68628,120.30536,每半小時15元,有,尾北里站前南路9巷
TRA,TRAJNY2302,員林站法定停車場,23.957799911499023,120.56968688964844,汽車:平日15/半H    假日20/半H   12小時最高上限120     機車:一天平日20    假日30    ,有,彰化縣員林市民權街55號
TRA,TRAJLY2612,基隆停6,25.130239486694336,121.73735046386719,臨停： 機車：20元/次 汽車： 星期一至星期五：半小時15元，1小時30元。當日最高上限150元。 星期六至星期日：半小時20元，1小時40元。當日最高上限150元,無,基隆市中山區中山一路12號
TRA,TRAJLY0108,南港車站地下停車場,25.05202,121.60399,臨停費用: 汽車 平日：40元 假日：50元  (當日最高上限240元，跨日另計)  機車 40元/次，跨日另計。月租費用: 汽車：3300元/雙月繳6000元 機車：550元/ 雙月繳1000元(身障者半價),有,臺北市南港區忠孝東路七段265巷1號
TRA,TRAJTY0149,九曲堂後站停車場,22.65649,120.42178,汽車：15元/30分鐘，當日最高80元/隔日另計 機車：30元/次(離場再停或跨日另計收費),有,高雄市大樹區九曲路
TRA,TRAJLY1701,桃園停4,24.98883056640625,121.31088256835938,平日50元/時，假日60元/時,有,桃園市桃園區大同路77號旁
TRA,TRAJNY2301,彰化站前南側停車場,24.08163,120.53836,"汽車 平日15元/30分.假日25元/30分    平日上限150.假日上限200 機車 平假日10元/30分. 平日上限40.假日上限70"" 月租 機車:全月900/月.平日租700/雙月 汽車:全月5400/雙月.上班族4000/雙月.夜間3000/雙月",有,彰化縣彰化市長樂里三民路1號
TRA,TRAJLY1306,南樹林機車停車場,24.98035,121.40893,"30元/每次(平日), 38元/每次(假日)",無,新北市樹林區中山路2段230號
TRA,TRAJAB0202,南港BOT C2棟停車場,25.051979064941406,121.60356140136719,"計時:平日:15元/半小時,當日上限180元 假日:20元/半小時,當日上限200元 月租:4500元/2個月",無,臺北市南港區忠孝東路七段265巷1號
THSR,4000,高鐵新竹站P3汽車停車場,24.80977,121.04089,"
      ",無,新竹縣竹北市高鐵七路6號(P3汽車停車場)
THSR,2300,高鐵桃園站立體停車場(P3),25.014077,121.215969,"
      ",無,桃園市中壢區青埔里高鐵北路1段6號(P3立體停車場區-含機車停車場)
THSR,3900,高鐵新竹站P2汽車停車場,24.8063,121.04039,"
      ",無,新竹縣竹北市高鐵七路6號(P2汽車停車場)
THSR,2700,高鐵台中站立體停車場(P1),24.111,120.61697,"
      ",無,台中市烏日區站區二路8號(P1汽車立體停車場)
THSR,2800,高鐵台中站載客專用平面停車場(P2),24.11281,120.61613,"
      ",無,台中市烏日區站區二路8號(P2汽車停車場)
THSR,3300,高鐵台南站P1汽車停車場,22.92399,120.28675,"$60/H,當日當次最高上限$300",無,台南市歸仁區歸仁大道100號(P1汽車停車場)
THSR,2100,高鐵桃園站戶外短期停車場(P1),25.01318,121.21589,"
      ",無,桃園市中壢區青埔里高鐵北路1段6號(P1汽車停車場區)
THSR,2900,高鐵彰化站停車場,23.87404,120.57305,"
      ",無,彰化縣田中鎮站區路二段99號停車場
THSR,3100,高鐵嘉義站P1汽車停車場,23.45836,120.32358,"$30/H,當日當次最高上限$180",無,嘉義縣太保市高鐵西路168號(P1汽車停車場)
THSR,3200,高鐵嘉義站P2汽車停車場,23.457569,120.323308,"
      ",無,嘉義縣太保市高鐵西路168號(P2汽車停車場)
THSR,2200,高鐵桃園站戶外短期停車場(P2),25.01391,121.21491,"
      ",無,桃園市中壢區青埔里高鐵北路1段6號(P2汽車停車場區)
THSR,2400,高鐵新竹站P1汽車停車場,24.806131,121.039966,"
      ",無,新竹縣竹北市高鐵七路6號(P1汽車停車場)
THSR,2600,高鐵苗栗站戶外平面停車場(P2),24.60597,120.82448,"
      ",無,苗栗縣後龍鎮高鐵三路268號停車場
THSR,3700,高鐵嘉義站P3汽車停車場,23.46026,120.32268,"
      ",無,嘉義縣太保市高鐵西路168號(P3汽車停車場)
THSR,3500,高鐵台南站P3汽車停車場,22.92544,120.284461,"
      ",無,台南市歸仁區歸仁大道100號(P3汽車停車場)
THSR,3400,高鐵台南站P2汽車停車場,22.923061,120.286009,"
      ",無,台南市歸仁區歸仁大道100號(P2汽車停車場)
THSR,2500,高鐵苗栗站戶外平面停車場(P1),24.60648,120.82582,"
      ",無,苗栗縣後龍鎮高鐵三路268號停車場
THSR,3600,高鐵左營站停車場,22.68592,120.3066,"
      ",無,高雄市左營區高鐵路103號(P1立體停車場)
THSR,3800,高鐵嘉義站P4汽車停車場,23.46004,120.32394,"$30/H,當日當次最高上限$180",無,嘉義縣太保市高鐵西路168號(P4汽車停車場)
THSR,3000,高鐵雲林站停車場,23.73481,120.41667,"
      ",無,雲林縣虎尾鎮站前東路301號停車場
TRTC,TRTCNHD,捷運內湖機廠轉乘停車場,25.0618896484375,121.61766815185547,"汽車:轉乘臨停06:00~20:00 30元/時 20:00~06:00 10元/時 (當日收費上限150元)、全月轉乘停車證 1,800元 / 月 5,400元 / 季 ，機車:轉乘臨停 20元、全月轉乘停車證 300元 / 月 900元 / 季",有,臺北市南港區經貿一路265 號3、4、5 樓
TRTC,TRTCR22A,捷運新北投站轉乘停車場,25.136730194091797,121.50138854980469,汽車：1.平日： 06:00~24:00 20元/時 00:00~06:00 10元/時 2.假日： 06:00~11:00 20元/時 11:00~22:00 30元/時 22:00~24:00 20元/時 00:00~06:00 10元/時,有,臺北市北投區大業路700號
TRTC,TRTCO21,捷運迴龍站轉乘停車場,25.02284,121.41298,"汽車：轉乘臨停6:00~24:00 30元/時，0:00~6:00 10元/時，全月轉乘停車場3,000元/月 機車：轉乘臨停20元/次，全月轉乘停車場300元/月",無,新北市新莊區中正路758號
TRTC,TRTCR25,捷運關渡站轉乘停車場,25.125429153442383,121.46736145019531,僅提供定期票停車使用,無,臺北市北投區大度路3段296巷51號
TRTC,TRTCO12,捷運大橋頭站轉乘停車場,25.06332,121.5121,計次：20元/次,無,臺北市大同區民權西路225巷
TRTC,TRTCR23,捷運北投旅客服務中心停車場,25.13652992248535,121.48124694824219,"全日定期票：9,000元/季",有,臺北市北投區中央北路3段185號
TRTC,TRTCR19,捷運石牌站轉乘停車場,25.116050720214844,121.5146713256836,汽車：1.平日： 06:00~24:00 30元/時 00:00~06:00 10元/時 2.假日： 06:00~24:00 40元/時 00:00~06:00 10元/時,無,臺北市北投區石牌路1段200號
TRTC,TRTCBL02,捷運永寧站轉乘停車場,24.96564,121.43632,汽車：06:00~24:00 20元/時 00:00~06:00 10元/時 ；機車：10元/次,有,新北市土城區中央路3段105號
TRTC,TRTCR24,捷運忠義站轉乘停車場,25.12987,121.47163,汽車：1.平日： 06:00~24:00 20元/時 00:00~06:00 10元/時 2.假日： 06:00~11:00 20元/時 11:00~22:00 30元/時 22:00~24:00 20元/時 00:00~06:00 10元/時,無,臺北市北投區中央北路4段301號
TRTC,TRTCBL09,捷運江子翠站轉乘停車場,25.02952,121.47257,"全時季票：9,000元",有,新北市板橋區文化路2段296號
TRTC,TRTCR20,捷運唭哩岸站轉乘停車場,25.12066078186035,121.50798034667969,06:00~24:00 30元/時、00:00~06:00 10元/時,無,臺北市北投區東華街2段301號
TRTC,TRTCBL01,捷運頂埔站轉乘停車場,24.95888,121.4198,汽車：06:00~22:00 20元/時、22:00~06:00 10元/時。; 機車：20元/次。當日收費上限200元(0~24時),有,新北市土城區中央路4段51之6號
TRTC,TRTCR21,捷運奇岩站轉乘停車場,25.12673,121.50074,20元/次,無,臺北市北投區三合街2段489號
TRTC,TRTCR27,捷運紅樹林站轉乘停車場,25.15266,121.4592,汽車：06:00~24:00 20元/時 00:00~06:00 10元/時,有,新北市淡水區中正東路2段68號
TRTC,TRTCARENA,臺北小巨蛋停車場,25.04996,121.54969,"計時：汽車平日40元/時，假日60元/時，全程以半小時計費。月租：汽車全日8,000元/月，機車全日300元/月。計次：機車20元/次(隔日另計)。",有,臺北市松山區南京東路4段2號
TRTC,TRTCBR19,捷運內湖站轉乘停車場,25.08378028869629,121.5942611694336,轉乘臨停 20元/次 停車時段：24小時，按日計次收費，全月轉乘停車證 300元/月 450元/季 。 ,無,臺北市內湖區成功路4 段186 號B1
TRTC,TRTCR13,捷運民權西路站轉乘停車場,25.06131,121.52016,機車：20元/次,無,臺北市大同區民權西路72號
TRTC,TRTCBL06,捷運府中站轉乘停車場,25.00806999206543,121.45855712890625,轉乘臨停	30元/次	停車時段：24小時，按日計次收費。,無,新北市板橋區縣民大道1段193號
TRTC,TRTCBR24,捷運南港展覽館站轉乘停車場,25.05521011352539,121.61856842041016,"轉乘臨停 1.平日：20元/次 2.假日：30元/次，全月轉乘停車證 400元/月 1,200元/季 ",無,臺北市南港區台北市經貿一路1102號
TRTC,TRTCBR18,捷運文德站轉乘停車場,25.078399658203125,121.58490753173828,"轉乘臨停	06:00~22:00 30元/時 22:00~06:00 10元/時，全月轉乘停車證 3,500元/月 9,450元/季 停車時段",無,臺北市內湖區文德路216號
TRTC,TRTCO01,捷運南勢角站轉乘停車場,24.99065,121.50844,1.平日：06:00~24:00 30元/時、00:00~06:00 10元/時2.假日：06:00~24:00 40元/時、00:00~06:00 10元/時,有,新北市中和區捷運路6號
TRTC,TRTCR16,捷運士林站轉乘停車場,25.092390060424805,121.52668762207031,汽車：06:00~24:00 50元/時、00:00~06:00 20元/時；機車：20元/次,有,臺北市士林區福德路1號
TRTC,TRTCPTD,捷運北投機廠地下停車場,25.13463,121.4847,計次40元,有,臺北市北投區台北市大業路527巷88號
TRTC,TRTCMCD,捷運木柵機廠轉乘停車場,25.00124,121.58602,120 元 / 次(僅假日開放08：00~16：00),有,臺北市文山區新光路2段19號
TRTC,TRTCO54,捷運蘆洲站轉乘停車場,25.092449188232422,121.46459197998047,1.汽車：06:00~22:00 30元/時 22:00~06:00 10元/時。2.機車：計次：20元/次,有,新北市蘆洲區三明路386號B1
TRTC,TRTCBR02,捷運木柵站轉乘停車場,24.99815,121.57291,轉乘臨停	06:00~22:00 30元/時 22:00~06:00 10元/時	,有,臺北市文山區木柵路4段135號
TRTC,TRTCZOOHR,動物園河川高灘地堤外停車場,24.99809,121.57833,小型車平日50元/次，例假日60元/小時；大型車平日60元/次,無,臺北市文山區新光路二段2號堤外停車場
TRTC,TRTCG01,捷運新店站轉乘停車場,24.95697021484375,121.53748321533203,汽車：1.平日：06:00~22:00 30元/時、22:00~06:00 20元/時 2.假日：06:00~11:00 30元/時、11:00~22:00 40元/時、22:00~06:00 20元/時。機車：計次：20元/次,有,新北市新店區北宜路1段2號B2-B4
TRTC,TRTCR17,捷運芝山站轉乘停車場,25.101179122924805,121.52303314208984,汽車：1.平日： 06:00~24:00 30元/時、00:00~06:00 10元/時。2.假日： 06:00~11:00 30元/時、11:00~22:00 40元/時、22:00~24:00 30元/時、00:00~06:00 10元/時；機車：20元/次,有,臺北市士林區福國路70號
