縣市,路段ID,路段名稱,緯度,經度,費率資訊,電動車充電樁,位置描述
Taipei,2131000,至善路1段,25.09916,121.5366,50元(09:00-17:00),無,至善路1段(臨溪路到福林路)
Taipei,3037086,新生南路3段86巷,25.01878,121.5336,20元(09:00-17:00),無,新生南路3段86巷(羅斯福路三段283巷到新生南路三段)
Taipei,5234000,延吉廢鐵道平面停車場,25.04403,121.55393,40元(07:00-21:30),無,延吉廢鐵道平面停車場(忠孝東路到延吉街)
Taipei,5232265,樂群二路265巷,25.07996,121.56031,30元(10:00-20:00),無,樂群二路265巷(樂群二路到植福路286巷)
Taipei,60610B0,新生北橋下C(二),25.0603,121.52776,40元(07:00-21:30),無,新生北橋下C(二)(民權東路到錦州街)
Taipei,2049000,農安街,25.06499,121.52243,40元(07:00-20:00),無,農安街(中山北路三段到建國北路)
Taipei,10790B0,基河路B含機車,25.08971,121.52265,40元(07:00-20:00),無,基河路B含機車(大南路到劍潭路)
Taipei,2132000,至善路2段,25.09735,121.54212,50元(09:00-17:00),無,至善路2段(故宮到臨溪路)
Taipei,1047191,承德路4段195巷含機車,25.08881,121.52328,40元(07:00-20:00),無,承德路4段195巷含機車(基河路到承德路四段)
Taipei,21310A0,至善路一段,25.09702,121.54257,100元(09:00-17:00),無,至善路一段(臨溪路到福林路)
Taipei,1174000,中央北路1段,25.13341,121.5018,50元(09:00-17:00),無,中央北路1段(大業路到光明路)
Taipei,10790B0,基河路B含機車,25.08971,121.52265,40元(07:00-20:00),無,基河路B含機車(大南路到劍潭路)
Taipei,2005000,忠孝東路5段,25.04429,121.58172,50元(07:00-20:00),無,忠孝東路5段(中坡北路到松山路)
Taipei,2180135,民權東路2段135巷20弄,25.0638,121.53389,40元(07:00-20:00),無,民權東路2段135巷20弄(農安街166巷到民權東路2段135巷)
Taipei,10470B0,承德路4段B含機車,25.0889,121.52175,40元(07:00-20:00),無,承德路4段B含機車(大南路到劍潭路)
Taipei,144800A,光明路,25.13307,121.50037,50元(09:00-17:00),無,光明路(育仁路到溫泉路72巷)
Taipei,6064000,新生北橋下D(一),25.06825,121.52775,40元(07:00-21:30),無,新生北橋下D(一)(民族東路到民權東路)
Taipei,10120B0,長安西路B,25.05252,121.50733,40元(07:00-20:00),無,長安西路B(延平北路到環河北路)
Taipei,40290B0,峨嵋街B,25.04403,121.50504,40元(09:00-21:00),無,峨嵋街B(康定路到昆明街)
Taipei,10770C0,士商路C大車,25.09633,121.51563,60元(08:00-22:00),無,士商路C大車(承德路五段到中正路)
Taipei,1047179,承德路4段179巷含機車,25.08789,121.52383,40元(07:00-20:00),無,承德路4段179巷含機車(基河路到承德路四段)
Taipei,2034Z00,興安街Z00,25.0563,121.53722,40元(07:00-20:00),無,興安街Z00(建國北路到復興北路)
Taipei,40380B0,成都路B,25.0422,121.50831,40元(09:00-21:00),無,成都路B(康定路到中華路)
Taipei,31500A0,新光路二段A0(大車),25.00277,121.59772,100元(09:00-17:00),無,新光路二段A0(大車)(新光路2段動物園側門到捷運機場小車出口)
Taipei,1010143,鄭州路143巷,25.0504,121.50969,30元(09:00-17:00),無,鄭州路143巷(鄭州路到長安西路)
Taipei,21660G0,長春路G,25.05502,121.52738,累進及差別費率C(07:00-17:00),無,長春路G(林森北路到新生北路)
Taipei,40400A0,西寧南路A,25.04282,121.50604,60元(09:00-21:00),無,西寧南路A(忠孝西路到成都路)
NewTaipei,TB0,中橫路,25.00094508,121.4770082,週一-週五07:00-20:00、例假日及國定假日09:00-18:00 收費20元/時,無,中橫路
NewTaipei,P83,穀保街,25.06825093,121.4725277,週一-週五07:00-20:00 收費20元/時,無,穀保街
NewTaipei,B12,愛國路,24.93373781,121.3741754,週一-週五07:00-20:00、例假日及國定假日08:00-18:00 收費20元/時,無,愛國路
NewTaipei,T71,華順街,24.99739611,121.4653423,週一-週五07:00-20:00 收費20元/時,無,華順街
NewTaipei,K12,互助街,25.02713232,121.4620565,週一-週五07:00-20:00 收費30元/時,無,互助街
NewTaipei,B15,學勤路,24.94566181,121.3736966,週一-週五07:00-20:00 收費20元/時,無,學勤路
NewTaipei,TA7,中正路328巷42弄,24.97612664,121.5383095,週一-週五07:00-20:00 收費20元/時,無,中正路328巷42弄
NewTaipei,R03,後港一路,25.0261634,121.4256371,週一-週五07:00-20:00 收費20元/時,無,後港一路
NewTaipei,V21,明德路12巷,25.07154891,121.4333043,週一-週五07:00-20:00 收費20元/時,無,明德路12巷
NewTaipei,T55,錦和路,24.99531873,121.4901091,週一-週五07:00-20:00 收費20元/時,無,錦和路
NewTaipei,L20,千歲街61巷,24.99849231,121.4257454,週一-週五07:00-20:00 收費20元/時,無,千歲街61巷
NewTaipei,PA5,重新路三段115巷,25.06059678,121.4900982,週一-週五07:00-20:00 收費30元/時,無,重新路三段115巷
