縣市,停車場ID,停車場名稱,緯度,經度,費率資訊,電動車充電樁,地址
NewTaipei,130080,中正停車場,24.974583,121.444087,小型車月租2500元;,未提供,新北市土城區中正路56巷15號對面
NewTaipei,110033,明峰停車場,25.071458,121.632065,小型車計時20元;小型車月租2000元;,未提供,新北市汐止區明峰街70號之1旁
NewTaipei,100052,全聯淡水中山停車場,25.18438,121.44462,小型車計時40元;小型車計時60元;,未提供,新北市淡水區中山北路2段102號
NewTaipei,050167,民安平面停車場,25.02837,121.42454,小型車計時20元;小型車月租4000元;,未提供,新北市新莊區中正路721巷與福營路交叉口
NewTaipei,030138,牧源停車場,24.98056,121.50733,小型車計時60元;小型車月租5000元;,未提供,新北市中和區工專路臨38號旁
NewTaipei,140051,助安168徐匯商旅停車場,25.08107,121.48032,小型車計時60元;小型車月租8000元;機車計時20元;機車月租600元;,未提供,新北市蘆洲區集賢路409號B1~B3
NewTaipei,090037,鼎冠小吃店停車場,24.942317,121.375896,小型車計時200元;,未提供,新北市三峽區大學路86-3號
NewTaipei,060119,美河市C棟商場機車停車場,24.972565,121.529502,機車計時30元;機車月租800元;,未提供,新北市新店區中央路157號地下1層機車區
NewTaipei,100026,家福淡新店停車場,25.18655,121.443387,小型車計時30元;機車計時10元;,未提供,新北市淡水區中山北路2段383號B1、B2
NewTaipei,010218,ㄧ0九停車場,24.991516,121.434289,小型車月租1800元;,未提供,新北市板橋區金門街109巷底
NewTaipei,030049,中和停車場,24.99934,121.506561,小型車計時40元;小型車月租4000元;,未提供,新北市中和區中和路230巷1號對面
NewTaipei,030141,華中三臨時平面停車場,25.01111,121.48744,小型車計時40元;小型車月租4000元;,未提供,新北市中和區中原二街71號正對面
NewTaipei,140027,家福蘆洲店停車場,25.0879,121.486775,小型車計時40元;,未提供,新北市三重區五華街282號5樓、6樓、頂樓
NewTaipei,070053,樹林山佳平面停車場,24.96916,121.39344,小型車計時30元;小型車月租3500元;,未提供,新北市樹林區佳園路1段92號
NewTaipei,050171,丹鳳國小收費停車場,25.024366,121.413735,小型車月租1500元;,未提供,新北市新莊區新北大道7段437號
