停車場ID,停車場名稱,地址,即時剩餘車位
080041,永雄鳳福停車場,新北市鶯歌區鳳五路與鳳福路交口空地,-9
110087,汐止秀峰場停車場,新北市汐止區福安街8號旁,-9
090021,台灣聯通三峽停車場,新北市三峽區和平街65號B2,-9
170082,春見築收費停車場,新北市林口區三民路180-1號B1,-9
110088,明峰一停車場,新北市汐止區明峰街218號旁空地,-9
030149,立德一臨時平面停車場,新北市中和區立德街98巷79號旁空地,-9
090051,悅灣悠悅社區停車場,新北市三峽區民生街1巷6-1號B1、B2,-9
170083,麗江清久社區停車場,新北市林口區忠孝一路12號B1/50~65號車格,-9
130092,俥亭員林平面停車場,新北市土城區中央路2段99號旁,-9
210001,三芝中山立體停車場,新北市三芝區淡金路一段61號,36
030092,永年停車場,新北市中和區華順街52號右側,-9
100060,淡海新市鎮四季之旅地下停車場,新北市淡水區新市一路1段106號B1,-9
050193,捷運迴龍站停車場,新北市新莊區中正路758號,55
210002,三芝中正立體停車場,新北市三芝區中山路二段48-1號,58
110089,新五停車場,新北市汐止區新台五路1段260-1號旁,-9
020197,永福國小未來樓收費停車場,新北市三重區永福街66號/未來樓B1,-9
060006,新店區碧潭東岸平面停車場,新北市新店區環河路29巷旁,22
060008,新店區碧潭渡船頭平面停車場,新北市新店區新店路67號旁空地,-9
060112,新店區碧潭西岸平面停車場,新北市新店區溪州路31號旁空地,54
170086,富堡晶宴收費停車場,新北市林口區民族路81號B1/49~58、65~72及74~85號車格,-9
010242,六三停車場,新北市板橋區華江六路右轉華江三路70公尺處,-9
050079,成功停車場,新北市新莊區成功街202號旁,-9
130053,日新街停車場,新北市土城區日新街36號旁空地,-9
060032,停車易商行民權停車場,新北市新店區民權路31~37號B1/1~8、12、13及16~51號車位,-9
050198,冠德泰景停車場,新北市新莊區幸福東路128號B1、B2/機車為B1樓層1~70號車格,-9
270003,金包里老街停車場,新北市金山區中山路134號,-9
090049,祥耀停車場,新北市三峽區中華路8號對面,-9
110091,連成停車場,新北市汐止區和平街6巷5弄2號旁空地,-9
030069,吉拾停車場景平場,新北市中和區景平路168-202號B4/A6~8、28~37、40、50~53、56~60、62~64、68~74、89~102及B5~8、27~38、54~67、71~75、88~102車格位,-9
220002,富基漁港臨時停車場,石門區富基里楓林15-16號旁,-9
110073,上洲停車場,新北市汐止區福德二路79號對面,-9
060128,大潤發碧潭店停車場,新北市新店區環河路22號B2/1~139及141~201號車格,-9
050102,中信國小收費停車場,新 北市新莊區中信街168號B1,-9
080044,鳳民停車場,新北市鶯歌區鳳福路鳳福公園旁,-9
170049,南方沐林收費停車場,新北市林口區南勢街322號B1/62~70、115~118號車格，機車1~37號及B2/1~16、55~61號車格,-9
090053,詮營停車第二停車場,新北市三峽區中山路257巷16號對面空地,-9
110008,汐止區行政中心公有停車場,新北市汐止區新台五路一段268號B1、B2,-9
020023,集美國民小學地下停車場,新北市三重區集美街10號B1,-9
110093,台灣聯通社后停車場,新北市汐止區康寧街459巷13號B1/353~396號汽車格、1~125號機車格及B2/239~305、311~320、352號汽車格,-9
140064,Times蘆洲永平街停車場,新北市蘆洲區永平街32巷55號對面,-9
030029,新北市光復國小月租地下停車場,新北市中和區光環路2段1號B2,-9
010028,新北市立大觀國民中學停車場,新北市板橋區僑中一街1號B1,-9
060071,新北市立圖書館捷運新店線大坪林站(捷六)新天地大樓B2停車場,新北市新店區北新路3段105巷2號B2/52~64及66、67號車格位,-9
130086,新代田地下停車場,新北市土城區明德路1段71號B1/1~85號機車位及B2~B3之1~85號車格位,-9
050087,宜家家居股份有限公司新莊分公司停車場,新北市新莊區中正路1號B1~B3,-9
050160,昌鑫停車場有限公司中央站,新北市新莊區中央路與中信街交叉口,-9
010253,宏達經營管理顧問有限公司華江二停車場,新北市板橋區華江三路與華江二路交叉口往華江五路方向約100公尺,-9
130103,土城中央二平面停車場,新北市土城區中央路1段302號對面空地,-9
140065,Times蘆洲長榮路第3停車場,新北市蘆洲區長榮路288號旁,-9
140066,Times蘆洲民族路停車場,新北市蘆洲區民族路327巷42號旁,-9
090054,Times三峽大學路第2停車場,新北市三峽區大學路218號旁,-9
070037,樹林國民運動中心停車場,新北市樹林區中正路188-6號B1,-9
110051,宜舍汐止平面停車場,新北市汐止區汐止車站北側茄苳路至建成路間鐵路高架橋下P148~P151墩柱間土地,-9
170091,林口區力行段臨時路外停車場,新北市林口區民族路216巷旁,-9
010254,Times板橋華江一路停車場,新北市板橋區華江一路162號旁,-9
130104,青仁路青仁停車場,新北市土城區青仁路21號旁空地,-9
060104,宜家家居股份有限公司新店分公司停車場,新北市新店區中央路157、159號B1及2F、3F,-9
050029,新莊區農會停車場,新北市新莊區中正路80號B2-B4,-9
020207,宏達經營管理顧問有限公司仁義二停車場,新北市三重區仁義街79巷與元富一街交叉口往仁義街方向約50公尺,-9
030153,Times中和興南路二段停車場,新北市中和區興南路2段54巷內,-9
060036,新店區台北矽谷大樓停車場,新北市新店區北新路3段205、205-1號B3,-9
150040,全弘A區收費停車場,新北市五股區成泰路1段98巷28之26號,-9
130106,土城明峰停車場,新北市土城區明峰街與明峰街53巷口,-9
100040,淡水新市停車場,新北市淡水區新市1路3段101巷與101巷17弄交接處,-9
090023,台灣聯通北大停車場,新北市三峽區學成路398號B1~B2,-9
070062,家樂福北大停車場,新北市樹林區大雅路288號B2/787~789、791~800、802~804、814~816、819~836、839~889號及B3/667~682、686、695、697~727、740~765、769~771、784號車格位,-9
270014,金全興商店1號停車場,新北市金山區民生路47號,-9
270013,金全興商店2號停車場,新北市金山區民生路47號,-9
060139,陽光PARK社區立體停車場,新北市新店區安興路105號1樓/2~25號車格位,-9
090055,禮頓企業有限公司大學站停車場,新北市三峽區國際二街25號旁空地,-9
030137,漢傑華夏科大站停車場,新北市中和區工專路30號B1/6~24號格位及B2、B3,-9
020212,車堡寶實業股份有限公司新北大道場停車場,新北市三重區新北大道2段252號右側空地停車場,-9
020213,台灣聯通三重神農停車場,新北市三重區五谷王北街48巷內空地,-9
050199,鳳凰花園停車場,新北市新莊區中正路340號B1/464~533號汽車格、1~93號機車格及B2/534~556號汽車格,-9
170093,林口交響苑停車場,新北市林口區文化三路1段195號B1、B2,0
020116,越鑫三重場停車場,新北市三重區光興街85號B1/1~12、15、18、19、22~30號格及B2/31~41、44、47、48、51~59號車格,-9
050215,Times新莊中誠街停車場,新北市新莊區中誠街53巷36號對面停車場,-9
150043,聯毅停車場,新北市五股區新五路2段238號,-9
060073,統帥工業區停車場,新北市新店區寶興路45巷8弄5號1樓、B1,-9
090034,台灣聯通汐止福德停車場,新北市汐止區福德路38號B2、B3,-9
050216,Times新莊新泰路第2停車場,新北市新莊區新泰路139號左側旁停車場,-9
030100,名城停車場,新北市中和區景安路1號B1、B2,-9
060130,三車停車場,新北市新店區寶興便道/寶興便道停車場對面,-9
160012,泰山區明志國民小學地下停車場,新北市泰山區新生路2號/綜合大樓B2,-9
130109,Times土城中央路二段第2停車場,新北市土城區中央路2段21巷128號旁,-9
050129,新莊君泰停車場,新北市新莊區雙鳳路77巷2號B1、B2,-9
010044,捷運江子翠站轉乘停車場,新北市板橋區文化路2段296號,-9
010116,捷運府中站轉乘停車場,新北市板橋區縣民大道1段193號,1
130059,捷運頂埔站轉乘停車場,新北市土城區中央路4段51-6號B1~B3,14
130011,捷運海山站轉乘停車場,新北市土城區海山路39號B1,13
010258,(板橋區)USPACE車位共享平臺停車場,,-9
030110,和城平面停車場,新北市中和區和城路1段263號,-9
060096,寶興停車場,新北市新店區寶興路45巷對面高架橋下(寶高便道1號),-9
260006,福隆平面停車場,新北市貢寮區興隆街24之1號旁停車場,-9
060014,新店柴埕市民活動中心地下停車場,新北市新店區安民街79號B1、B2,-9
060052,新店大豐社福館地下停車場,新北市新店區民族路110號B1,10
050009,新莊文化藝術中心地下停車場,新北市新莊區中平路133號B1,32
010042,新北市藝文中心平面停車場,新北市板橋區莊敬路62號,37
080045,Times鶯歌鶯桃路第2停車場,新北市鶯歌區鶯桃路452號旁,-9
020219,捷運路停車場,新北市三重區捷運路22巷21號旁,-9
070039,金英堡收費停車場,新北市樹林區俊英街133巷16-3號B1、B2/含車道行車動線及其他必要性之相關設施,-9
050225,聯邦企業廣場大樓收費停車場,新北市新莊區新北大道3段7號B1/255~272、297~310號車格位與車道行車動線及其他必要性之相關設施,-9
030065,潤泰全球中和分公司B3、B4停車場,新北市中和區中山路2段228號B3、B4,-9
